client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
d76e872cd8e581ed15344f019d4debe9986a03723be3fbc78f85b0cd7ce80f149c3ac2349e0246d64ff31e8878ce2394e114aebac64704e1502787327fcc2ef7	common_voice_pt_20464413.mp3	ao treinar um modelo todos os fonemas culturais precisam ser avaliados	2	0	twenties	male		pt	
d76e872cd8e581ed15344f019d4debe9986a03723be3fbc78f85b0cd7ce80f149c3ac2349e0246d64ff31e8878ce2394e114aebac64704e1502787327fcc2ef7	common_voice_pt_20464414.mp3	Eu conto vinte pedaços por dia, ok?	2	0	twenties	male		pt	
d76e872cd8e581ed15344f019d4debe9986a03723be3fbc78f85b0cd7ce80f149c3ac2349e0246d64ff31e8878ce2394e114aebac64704e1502787327fcc2ef7	common_voice_pt_20464415.mp3	Infelizmente, o período de teste expirou.	2	1	twenties	male		pt	
d76e872cd8e581ed15344f019d4debe9986a03723be3fbc78f85b0cd7ce80f149c3ac2349e0246d64ff31e8878ce2394e114aebac64704e1502787327fcc2ef7	common_voice_pt_20464416.mp3	Nós fizemos o nosso melhor	2	0	twenties	male		pt	
d76e872cd8e581ed15344f019d4debe9986a03723be3fbc78f85b0cd7ce80f149c3ac2349e0246d64ff31e8878ce2394e114aebac64704e1502787327fcc2ef7	common_voice_pt_20464417.mp3	Marte é quase inabitável.	2	0	twenties	male		pt	
d76e872cd8e581ed15344f019d4debe9986a03723be3fbc78f85b0cd7ce80f149c3ac2349e0246d64ff31e8878ce2394e114aebac64704e1502787327fcc2ef7	common_voice_pt_20464421.mp3	Pegada do antecessor	2	0	twenties	male		pt	
d76e872cd8e581ed15344f019d4debe9986a03723be3fbc78f85b0cd7ce80f149c3ac2349e0246d64ff31e8878ce2394e114aebac64704e1502787327fcc2ef7	common_voice_pt_20464422.mp3	A honestidade é a melhor política.	2	0	twenties	male		pt	
d76e872cd8e581ed15344f019d4debe9986a03723be3fbc78f85b0cd7ce80f149c3ac2349e0246d64ff31e8878ce2394e114aebac64704e1502787327fcc2ef7	common_voice_pt_20464424.mp3	A interface era indecifrável.	2	0	twenties	male		pt	
d76e872cd8e581ed15344f019d4debe9986a03723be3fbc78f85b0cd7ce80f149c3ac2349e0246d64ff31e8878ce2394e114aebac64704e1502787327fcc2ef7	common_voice_pt_20464426.mp3	Eles perderam a aula hoje.	2	0	twenties	male		pt	
d76e872cd8e581ed15344f019d4debe9986a03723be3fbc78f85b0cd7ce80f149c3ac2349e0246d64ff31e8878ce2394e114aebac64704e1502787327fcc2ef7	common_voice_pt_20464429.mp3	Eles cantaram as mesmas músicas em cada festa.	2	0	twenties	male		pt	
